id,name_zh,category,python,matlab,python_libs,matlab_toolboxes,license,source,python_status,python_seconds,matlab_status,matlab_seconds,note
grey_relational,灰色关联分析,02_评价决策,代码编写/references/algorithm_library/02_评价决策/grey_relational/python/main.py,代码编写/references/algorithm_library/02_评价决策/grey_relational/matlab/main.m,numpy,,self-written,自写重写;本地参照 02 源代码 灰色关联分析法,pass,0.6,pass,0,未运行
rsr,秩和比综合评价,02_评价决策,代码编写/references/algorithm_library/02_评价决策/rsr/python/main.py,代码编写/references/algorithm_library/02_评价决策/rsr/matlab/main.m,numpy;pandas,,self-written,自写重写;本地参照 02 源代码 秩和比综合评价法,pass,0.6,pass,0,未运行
topsis,TOPSIS 逼近理想解,02_评价决策,代码编写/references/algorithm_library/02_评价决策/topsis/python/main.py,代码编写/references/algorithm_library/02_评价决策/topsis/matlab/main.m,numpy,,self-written,自写重写;本地参照 02 源代码 TOPSIS综合评价法,pass,0.5,pass,0,未运行
arima_forecast,ARIMA 时序预测,03_预测时序,代码编写/references/algorithm_library/03_预测时序/arima_forecast/python/main.py,代码编写/references/algorithm_library/03_预测时序/arima_forecast/matlab/main.m,numpy;pandas;statsmodels,econ,self-written,自写重写;本地参照 02 源代码 ARMA时间序列预测,pass,2.5,pass,0,未运行
bass_diffusion,Bass 扩散模型,03_预测时序,代码编写/references/algorithm_library/03_预测时序/bass_diffusion/python/main.py,代码编写/references/algorithm_library/03_预测时序/bass_diffusion/matlab/main.m,numpy;scipy,econ;optim,self-written,自写重写;方法依据见 references/来源与方法依据.md,pass,1.6,pass,0,未运行
exponential_smoothing,指数平滑预测,03_预测时序,代码编写/references/algorithm_library/03_预测时序/exponential_smoothing/python/main.py,代码编写/references/algorithm_library/03_预测时序/exponential_smoothing/matlab/main.m,numpy,,self-written,自写重写;本地参照 02 源代码 二次指数平滑预测,pass,0.5,pass,0,未运行
gm11,灰色预测GM(1,03_预测时序,代码编写/references/algorithm_library/03_预测时序/gm11/python/main.py,代码编写/references/algorithm_library/03_预测时序/gm11/matlab/main.m,numpy,,自写重写;本地参照 02 源代码 灰色预测模型,大样本强用或不做后验差检验,pass,0.5,pass,0,未运行
gradient_boosting_regression,梯度提升回归,03_预测时序,代码编写/references/algorithm_library/03_预测时序/gradient_boosting_regression/python/main.py,代码编写/references/algorithm_library/03_预测时序/gradient_boosting_regression/matlab/main.m,numpy;sklearn,stats,self-written,自写重写;参照 14种国赛必备算法 集成学习类,pass,1.8,pass,0,未运行
linear_regression,多元线性回归,03_预测时序,代码编写/references/algorithm_library/03_预测时序/linear_regression/python/main.py,代码编写/references/algorithm_library/03_预测时序/linear_regression/matlab/main.m,numpy,stats,self-written,自写重写;本地参照 02 源代码 回归分析预测模型,pass,0.5,pass,0,未运行
mlp_regression,BP神经网络回归,03_预测时序,代码编写/references/algorithm_library/03_预测时序/mlp_regression/python/main.py,代码编写/references/algorithm_library/03_预测时序/mlp_regression/matlab/main.m,numpy;sklearn,,self-written,自写重写;本地参照 14种国赛必备算法 神经网络类,pass,1.8,pass,0,未运行
nar_mlp_forecast,NAR 非线性自回归神经网络预测,03_预测时序,代码编写/references/algorithm_library/03_预测时序/nar_mlp_forecast/python/main.py,代码编写/references/algorithm_library/03_预测时序/nar_mlp_forecast/matlab/main.m,numpy;sklearn,econ,self-written,自写重写;方法依据见 references/来源与方法依据.md,pass,3.1,pass,0,"  self.n_iter_ = _check_optimize_result(""lbfgs"", opt_res, self.max_iter)"
polynomial_fit,多项式拟合,03_预测时序,代码编写/references/algorithm_library/03_预测时序/polynomial_fit/python/main.py,代码编写/references/algorithm_library/03_预测时序/polynomial_fit/matlab/main.m,numpy,base,self-written,自写重写;本地参照 02 源代码 拟合类,pass,0.5,pass,0,未运行
random_forest_regression,随机森林回归,03_预测时序,代码编写/references/algorithm_library/03_预测时序/random_forest_regression/python/main.py,代码编写/references/algorithm_library/03_预测时序/random_forest_regression/matlab/main.m,numpy;sklearn,stats,self-written,自写重写;本地参照 14种国赛必备算法 随机森林回归,pass,2.0,pass,0,未运行
ridge_regression,岭回归,03_预测时序,代码编写/references/algorithm_library/03_预测时序/ridge_regression/python/main.py,代码编写/references/algorithm_library/03_预测时序/ridge_regression/matlab/main.m,numpy;sklearn,stats,self-written,自写重写;参照 14种国赛必备算法 回归类,pass,1.8,pass,0,未运行
svr_regression,支持向量回归,03_预测时序,代码编写/references/algorithm_library/03_预测时序/svr_regression/python/main.py,代码编写/references/algorithm_library/03_预测时序/svr_regression/matlab/main.m,numpy;sklearn,,self-written,自写重写;方法依据见 references/来源与方法依据.md,pass,2.2,pass,0,未运行
adaboost_classification,AdaBoost 集成分类,04_聚类分类,代码编写/references/algorithm_library/04_聚类分类/adaboost_classification/python/main.py,代码编写/references/algorithm_library/04_聚类分类/adaboost_classification/matlab/main.m,numpy;sklearn,,self-written,自写重写;方法依据见 references/来源与方法依据.md,pass,2.7,pass,0,未运行
dbscan,DBSCAN密度聚类,04_聚类分类,代码编写/references/algorithm_library/04_聚类分类/dbscan/python/main.py,代码编写/references/algorithm_library/04_聚类分类/dbscan/matlab/main.m,numpy;sklearn,base,self-written,自写重写;参照 算法写作模板 01 聚类类论文,pass,1.7,pass,0,未运行
decision_tree,决策树分类,04_聚类分类,代码编写/references/algorithm_library/04_聚类分类/decision_tree/python/main.py,代码编写/references/algorithm_library/04_聚类分类/decision_tree/matlab/main.m,numpy;sklearn,stats,self-written,自写重写;本地参照 02 源代码 决策树分类模型,pass,1.6,pass,0,未运行
gmm,高斯混合模型软聚类,04_聚类分类,代码编写/references/algorithm_library/04_聚类分类/gmm/python/main.py,代码编写/references/algorithm_library/04_聚类分类/gmm/matlab/main.m,numpy;sklearn,base;stats,self-written,自写重写;本地参照 02 源代码 高斯混合聚类模型,pass,1.8,pass,0,未运行
hierarchical_clustering,层次聚类,04_聚类分类,代码编写/references/algorithm_library/04_聚类分类/hierarchical_clustering/python/main.py,代码编写/references/algorithm_library/04_聚类分类/hierarchical_clustering/matlab/main.m,numpy;scipy;sklearn,base,self-written,自写重写;本地参照 02 源代码 层次聚类算法,pass,1.5,pass,0,未运行
kmeans,K-means聚类,04_聚类分类,代码编写/references/algorithm_library/04_聚类分类/kmeans/python/main.py,代码编写/references/algorithm_library/04_聚类分类/kmeans/matlab/main.m,numpy;sklearn,base,self-written,自写重写;本地参照 02 源代码 K-means聚类算法,pass,1.7,pass,0,未运行
knn_classification,KNN分类,04_聚类分类,代码编写/references/algorithm_library/04_聚类分类/knn_classification/python/main.py,代码编写/references/algorithm_library/04_聚类分类/knn_classification/matlab/main.m,numpy;sklearn,stats,self-written,自写重写;本地参照 02 源代码 KNN分类模型,pass,1.5,pass,0,未运行
logistic_regression,Logistic回归,04_聚类分类,代码编写/references/algorithm_library/04_聚类分类/logistic_regression/python/main.py,代码编写/references/algorithm_library/04_聚类分类/logistic_regression/matlab/main.m,numpy;sklearn,stats,self-written,自写重写;本地参照 02 源代码 Logistic预测模型,pass,1.5,pass,0,未运行
mlp_classification,BP 神经网络分类,04_聚类分类,代码编写/references/algorithm_library/04_聚类分类/mlp_classification/python/main.py,代码编写/references/algorithm_library/04_聚类分类/mlp_classification/matlab/main.m,numpy;sklearn,,self-written,自写重写;方法依据见 references/来源与方法依据.md,pass,1.5,pass,0,未运行
naive_bayes,朴素贝叶斯分类,04_聚类分类,代码编写/references/algorithm_library/04_聚类分类/naive_bayes/python/main.py,代码编写/references/algorithm_library/04_聚类分类/naive_bayes/matlab/main.m,numpy;sklearn,stats,self-written,自写重写;本地参照 02 源代码 朴素贝叶斯分类模型,pass,1.4,pass,0,未运行
svm_classification,支持向量机分类,04_聚类分类,代码编写/references/algorithm_library/04_聚类分类/svm_classification/python/main.py,代码编写/references/algorithm_library/04_聚类分类/svm_classification/matlab/main.m,numpy;sklearn,stats,self-written,自写重写;本地参照 02 源代码 支持向量机,pass,1.5,pass,0,未运行
critical_path_cpm,关键路径CPM,05_图与网络,代码编写/references/algorithm_library/05_图与网络/critical_path_cpm/python/main.py,代码编写/references/algorithm_library/05_图与网络/critical_path_cpm/matlab/main.m,,base,self-written,自写重写;参照 算法写作模板 01 规划类论文,pass,0.5,pass,0,未运行
dijkstra,Dijkstra最短路,05_图与网络,代码编写/references/algorithm_library/05_图与网络/dijkstra/python/main.py,代码编写/references/algorithm_library/05_图与网络/dijkstra/matlab/main.m,numpy,base,self-written,自写重写;本地参照 02 源代码 Dijkstra算法,pass,0.5,pass,0,未运行
floyd,Floyd全源最短路,05_图与网络,代码编写/references/algorithm_library/05_图与网络/floyd/python/main.py,代码编写/references/algorithm_library/05_图与网络/floyd/matlab/main.m,numpy,,self-written,自写重写;本地参照 02 源代码 Floyd算法,pass,0.5,pass,0,未运行
max_flow,最大流,05_图与网络,代码编写/references/algorithm_library/05_图与网络/max_flow/python/main.py,代码编写/references/algorithm_library/05_图与网络/max_flow/matlab/main.m,numpy,,self-written,自写重写;参照 算法写作模板 01 图论论文,pass,0.5,pass,0,未运行
minimum_spanning_tree,最小生成树,05_图与网络,代码编写/references/algorithm_library/05_图与网络/minimum_spanning_tree/python/main.py,代码编写/references/algorithm_library/05_图与网络/minimum_spanning_tree/matlab/main.m,,base,self-written,自写重写;本地参照 02 源代码 图论类,pass,0.5,pass,0,未运行
tsp_two_opt,TSP两阶段启发式,05_图与网络,代码编写/references/algorithm_library/05_图与网络/tsp_two_opt/python/main.py,代码编写/references/algorithm_library/05_图与网络/tsp_two_opt/matlab/main.m,numpy,base,self-written,自写重写;本地参照 02 源代码 蚁群算法,pass,0.5,pass,0,未运行
heat_equation_1d,一维热传导方程,06_机理与微分方程,代码编写/references/algorithm_library/06_机理与微分方程/heat_equation_1d/python/main.py,代码编写/references/algorithm_library/06_机理与微分方程/heat_equation_1d/matlab/main.m,numpy,,self-written,自写重写;参照 算法写作模板 04 培训资料,pass,1.3,pass,0,未运行
laplace_equation_2d,二维拉普拉斯方程 SOR,06_机理与微分方程,代码编写/references/algorithm_library/06_机理与微分方程/laplace_equation_2d/python/main.py,代码编写/references/algorithm_library/06_机理与微分方程/laplace_equation_2d/matlab/main.m,numpy,base,self-written,自写重写;方法依据见 references/来源与方法依据.md,pass,4.6,pass,0,未运行
logistic_population,Logistic人口增长模型,06_机理与微分方程,代码编写/references/algorithm_library/06_机理与微分方程/logistic_population/python/main.py,代码编写/references/algorithm_library/06_机理与微分方程/logistic_population/matlab/main.m,numpy;scipy,econ;optim,self-written,自写重写;本地参照 02 源代码 人口模型,pass,1.6,pass,0,未运行
lorenz_system,Lorenz混沌系统,06_机理与微分方程,代码编写/references/algorithm_library/06_机理与微分方程/lorenz_system/python/main.py,代码编写/references/algorithm_library/06_机理与微分方程/lorenz_system/matlab/main.m,numpy;scipy,base,self-written,自写重写;参照 算法写作模板 04 培训资料,pass,3.1,pass,0,未运行
lotka_volterra,Lotka-Volterra竞争捕食模型,06_机理与微分方程,代码编写/references/algorithm_library/06_机理与微分方程/lotka_volterra/python/main.py,代码编写/references/algorithm_library/06_机理与微分方程/lotka_volterra/matlab/main.m,numpy;scipy,base,self-written,自写重写;本地参照 02 源代码 种群模型,pass,1.8,pass,0,未运行
second_order_ode,二阶微分方程阻尼振动,06_机理与微分方程,代码编写/references/algorithm_library/06_机理与微分方程/second_order_ode/python/main.py,代码编写/references/algorithm_library/06_机理与微分方程/second_order_ode/matlab/main.m,numpy;scipy,base,self-written,自写重写;本地参照 02 源代码 微分方程,pass,1.7,pass,0,未运行
seir_model,SEIR 传染病模型,06_机理与微分方程,代码编写/references/algorithm_library/06_机理与微分方程/seir_model/python/main.py,代码编写/references/algorithm_library/06_机理与微分方程/seir_model/matlab/main.m,numpy;scipy,base,self-written,自写重写;方法依据见 references/来源与方法依据.md,pass,1.7,pass,0,未运行
sir_model,SIR传染病模型,06_机理与微分方程,代码编写/references/algorithm_library/06_机理与微分方程/sir_model/python/main.py,代码编写/references/algorithm_library/06_机理与微分方程/sir_model/matlab/main.m,numpy;scipy,base,self-written,自写重写;本地参照 02 源代码 传染病模型,pass,1.7,pass,0,未运行
system_dynamics,系统动力学存量流量模型,06_机理与微分方程,代码编写/references/algorithm_library/06_机理与微分方程/system_dynamics/python/main.py,代码编写/references/algorithm_library/06_机理与微分方程/system_dynamics/matlab/main.m,numpy,,self-written,自写重写;方法依据见 references/来源与方法依据.md,pass,1.4,pass,0,未运行
wave_equation_1d,一维波动方程有限差分,06_机理与微分方程,代码编写/references/algorithm_library/06_机理与微分方程/wave_equation_1d/python/main.py,代码编写/references/algorithm_library/06_机理与微分方程/wave_equation_1d/matlab/main.m,numpy,,self-written,自写重写;方法依据见 references/来源与方法依据.md,pass,1.4,pass,0,未运行
bootstrap_resampling,Bootstrap重采样,07_随机模拟,代码编写/references/algorithm_library/07_随机模拟/bootstrap_resampling/python/main.py,代码编写/references/algorithm_library/07_随机模拟/bootstrap_resampling/matlab/main.m,numpy,base,self-written,自写重写;参照 算法写作模板 04 培训资料,pass,1.3,pass,0,未运行
cellular_automata,元胞自动机,07_随机模拟,代码编写/references/algorithm_library/07_随机模拟/cellular_automata/python/main.py,代码编写/references/algorithm_library/07_随机模拟/cellular_automata/matlab/main.m,numpy,base,self-written,自写重写;本地参照 02 源代码 元胞自动机,pass,1.2,pass,0,未运行
markov_chain,马尔可夫链预测,07_随机模拟,代码编写/references/algorithm_library/07_随机模拟/markov_chain/python/main.py,代码编写/references/algorithm_library/07_随机模拟/markov_chain/matlab/main.m,numpy;pandas,,self-written,自写重写;本地参照 02 源代码 马尔可夫预测模型,pass,0.5,pass,0,未运行
mcmc_metropolis,MCMC Metropolis抽样,07_随机模拟,代码编写/references/algorithm_library/07_随机模拟/mcmc_metropolis/python/main.py,代码编写/references/algorithm_library/07_随机模拟/mcmc_metropolis/matlab/main.m,numpy,base,self-written,自写重写;参照 算法写作模板 04 培训资料,pass,1.4,pass,0,未运行
monte_carlo_integration,蒙特卡洛积分,07_随机模拟,代码编写/references/algorithm_library/07_随机模拟/monte_carlo_integration/python/main.py,代码编写/references/algorithm_library/07_随机模拟/monte_carlo_integration/matlab/main.m,numpy,,self-written,自写重写;本地参照 02 源代码 蒙特卡洛模拟,pass,1.7,pass,0,未运行
queue_simulation,蒙特卡洛排队仿真,07_随机模拟,代码编写/references/algorithm_library/07_随机模拟/queue_simulation/python/main.py,代码编写/references/algorithm_library/07_随机模拟/queue_simulation/matlab/main.m,numpy,base,self-written,自写重写;本地参照 02 源代码 排队论,pass,1.3,pass,0,未运行
queueing_mm1,M/M/1排队论解析,07_随机模拟,代码编写/references/algorithm_library/07_随机模拟/queueing_mm1/python/main.py,代码编写/references/algorithm_library/07_随机模拟/queueing_mm1/matlab/main.m,numpy,,self-written,自写重写;本地参照 02 源代码 排队论,pass,1.3,pass,0,未运行
queueing_mmc,M/M/c 多服务台排队,07_随机模拟,代码编写/references/algorithm_library/07_随机模拟/queueing_mmc/python/main.py,代码编写/references/algorithm_library/07_随机模拟/queueing_mmc/matlab/main.m,numpy,,self-written,自写重写;方法依据见 references/来源与方法依据.md,pass,1.5,pass,0,未运行
anova_oneway,单因素方差分析,08_统计检验,代码编写/references/algorithm_library/08_统计检验/anova_oneway/python/main.py,代码编写/references/algorithm_library/08_统计检验/anova_oneway/matlab/main.m,numpy;scipy,stats,self-written,自写重写;本地参照 02 源代码 方差分析,pass,1.3,pass,0,未运行
bayesian_inference,贝叶斯参数估计,08_统计检验,代码编写/references/algorithm_library/08_统计检验/bayesian_inference/python/main.py,代码编写/references/algorithm_library/08_统计检验/bayesian_inference/matlab/main.m,numpy;scipy,,self-written,自写重写;方法依据见 references/来源与方法依据.md,pass,1.9,pass,0,未运行
canonical_correlation,典型相关分析,08_统计检验,代码编写/references/algorithm_library/08_统计检验/canonical_correlation/python/main.py,代码编写/references/algorithm_library/08_统计检验/canonical_correlation/matlab/main.m,numpy;sklearn,stats,self-written,自写重写;本地参照 02 源代码 典型相关分析,pass,1.4,pass,0,未运行
chi_square_test,卡方检验,08_统计检验,代码编写/references/algorithm_library/08_统计检验/chi_square_test/python/main.py,代码编写/references/algorithm_library/08_统计检验/chi_square_test/matlab/main.m,numpy;scipy,,self-written,自写重写;本地参照 02 源代码 卡方检验,pass,1.2,pass,0,未运行
correlation_analysis,相关分析,08_统计检验,代码编写/references/algorithm_library/08_统计检验/correlation_analysis/python/main.py,代码编写/references/algorithm_library/08_统计检验/correlation_analysis/matlab/main.m,numpy;pandas;scipy,base,self-written,自写重写;本地参照 02 源代码 相关系数,pass,2.2,pass,0,未运行
mann_kendall_trend,Mann-Kendall趋势检验,08_统计检验,代码编写/references/algorithm_library/08_统计检验/mann_kendall_trend/python/main.py,代码编写/references/algorithm_library/08_统计检验/mann_kendall_trend/matlab/main.m,numpy;scipy,,self-written,自写重写;本地参照 02 源代码 时间序列类,pass,1.2,pass,0,未运行
regression_diagnostics,回归诊断,08_统计检验,代码编写/references/algorithm_library/08_统计检验/regression_diagnostics/python/main.py,代码编写/references/algorithm_library/08_统计检验/regression_diagnostics/matlab/main.m,numpy;scipy;statsmodels,stats,self-written,自写重写;参照 算法写作模板 04 培训资料,pass,2.5,pass,0,未运行
robust_regression,Huber 稳健回归,08_统计检验,代码编写/references/algorithm_library/08_统计检验/robust_regression/python/main.py,代码编写/references/algorithm_library/08_统计检验/robust_regression/matlab/main.m,numpy;sklearn;statsmodels,base;stats,self-written,自写重写;方法依据见 references/来源与方法依据.md,pass,2.6,pass,0,未运行
factor_analysis,因子分析,09_降维与特征,代码编写/references/algorithm_library/09_降维与特征/factor_analysis/python/main.py,代码编写/references/algorithm_library/09_降维与特征/factor_analysis/matlab/main.m,numpy;scipy;sklearn,stats,self-written,自写重写;本地参照 02 源代码 因子分析,pass,1.5,pass,0,未运行
lda,线性判别分析,09_降维与特征,代码编写/references/algorithm_library/09_降维与特征/lda/python/main.py,代码编写/references/algorithm_library/09_降维与特征/lda/matlab/main.m,numpy;sklearn,base;stats,self-written,自写重写;本地参照 02 源代码 分类类,pass,2.2,pass,0,未运行
pca,主成分分析,09_降维与特征,代码编写/references/algorithm_library/09_降维与特征/pca/python/main.py,代码编写/references/algorithm_library/09_降维与特征/pca/matlab/main.m,numpy;sklearn,stats,self-written,自写重写;本地参照 02 源代码 PCA主成分分析法,pass,2.2,pass,0,未运行
rfe_feature_selection,递归特征消除,09_降维与特征,代码编写/references/algorithm_library/09_降维与特征/rfe_feature_selection/python/main.py,代码编写/references/algorithm_library/09_降维与特征/rfe_feature_selection/matlab/main.m,numpy;sklearn,stats,self-written,自写重写;参照 算法写作模板 01 机器学习类论文,pass,2.3,pass,0,未运行
tsne,t-SNE降维可视化,09_降维与特征,代码编写/references/algorithm_library/09_降维与特征/tsne/python/main.py,代码编写/references/algorithm_library/09_降维与特征/tsne/matlab/main.m,numpy;sklearn,base;stats,self-written,自写重写;本地参照 02 源代码 T-SNE降维算法,pass,2.4,pass,0,未运行
cubic_spline_interpolation,三次样条插值,10_数据预处理,代码编写/references/algorithm_library/10_数据预处理/cubic_spline_interpolation/python/main.py,代码编写/references/algorithm_library/10_数据预处理/cubic_spline_interpolation/matlab/main.m,numpy;scipy,base,self-written,自写重写;本地参照 02 源代码 插值类,pass,1.8,pass,0,未运行
iqr_outlier,IQR四分位距异常检测,10_数据预处理,代码编写/references/algorithm_library/10_数据预处理/iqr_outlier/python/main.py,代码编写/references/algorithm_library/10_数据预处理/iqr_outlier/matlab/main.m,numpy,,self-written,自写重写;本地参照 02 源代码 箱型图检测异常值,pass,1.1,pass,0,未运行
lagrange_interpolation,拉格朗日插值,10_数据预处理,代码编写/references/algorithm_library/10_数据预处理/lagrange_interpolation/python/main.py,代码编写/references/algorithm_library/10_数据预处理/lagrange_interpolation/matlab/main.m,numpy,,self-written,自写重写;本地参照 02 源代码 拉格朗日插值法,pass,1.1,pass,0,未运行
minmax_standardization,归一化与标准化,10_数据预处理,代码编写/references/algorithm_library/10_数据预处理/minmax_standardization/python/main.py,代码编写/references/algorithm_library/10_数据预处理/minmax_standardization/matlab/main.m,numpy,,self-written,自写重写;本地参照 02 源代码 数据预处理类,pass,0.5,pass,0,未运行
missing_imputation,缺失值插补,10_数据预处理,代码编写/references/algorithm_library/10_数据预处理/missing_imputation/python/main.py,代码编写/references/algorithm_library/10_数据预处理/missing_imputation/matlab/main.m,numpy;pandas,base,self-written,自写重写;参照 算法写作模板 04 培训资料,pass,0.5,pass,0,未运行
zscore_outlier,Z-Score异常检测,10_数据预处理,代码编写/references/algorithm_library/10_数据预处理/zscore_outlier/python/main.py,代码编写/references/algorithm_library/10_数据预处理/zscore_outlier/matlab/main.m,numpy,,self-written,自写重写;本地参照 14种国赛必备算法 IQR异常值检测,pass,1.1,pass,0,未运行
geodetector_q,地理探测器 q 统计量,11_空间与地理,代码编写/references/algorithm_library/11_空间与地理/geodetector_q/python/main.py,代码编写/references/algorithm_library/11_空间与地理/geodetector_q/matlab/main.m,numpy,,self-written,自写重写;方法依据见 references/来源与方法依据.md,pass,1.3,pass,0,未运行
kriging,普通克里金插值,11_空间与地理,代码编写/references/algorithm_library/11_空间与地理/kriging/python/main.py,代码编写/references/algorithm_library/11_空间与地理/kriging/matlab/main.m,numpy,base,self-written,自写重写;方法依据见 references/来源与方法依据.md,pass,1.6,pass,0,未运行
moran_i,Moran's I 空间自相关,11_空间与地理,代码编写/references/algorithm_library/11_空间与地理/moran_i/python/main.py,代码编写/references/algorithm_library/11_空间与地理/moran_i/matlab/main.m,numpy;scipy,base,self-written,自写重写;方法依据见 references/来源与方法依据.md,pass,2.0,pass,0,未运行
evolutionary_game,演化博弈复制动态,12_博弈与决策,代码编写/references/algorithm_library/12_博弈与决策/evolutionary_game/python/main.py,代码编写/references/algorithm_library/12_博弈与决策/evolutionary_game/matlab/main.m,numpy;scipy,base,self-written,自写重写;方法依据见 references/来源与方法依据.md,pass,1.7,pass,0,未运行
nash_equilibrium,纳什均衡,12_博弈与决策,代码编写/references/algorithm_library/12_博弈与决策/nash_equilibrium/python/main.py,代码编写/references/algorithm_library/12_博弈与决策/nash_equilibrium/matlab/main.m,numpy,,self-written,自写重写;方法依据见 references/来源与方法依据.md,pass,1.2,pass,0,未运行
shapley_value,Shapley 值,12_博弈与决策,代码编写/references/algorithm_library/12_博弈与决策/shapley_value/python/main.py,代码编写/references/algorithm_library/12_博弈与决策/shapley_value/matlab/main.m,numpy,,self-written,自写重写;方法依据见 references/来源与方法依据.md,pass,1.1,pass,0,  公式：φ_i = Σ_{S \u2286 N\{i}} |S|!(n-|S|-1)!/n! · [v(S ∪ {i}) - v(S)]
