id,name_zh,problem_types,family,assumptions,pitfalls,source,license
max_flow,最大流,运输能力与匹配问题,图论,容量非负且源汇明确,多源多汇未处理且不做整数性说明,自写重写;参照 算法写作模板 01 图论论文,self-written
tsp_two_opt,TSP两阶段启发式,巡回路径规划,图论与启发式,需给出距离矩阵与改进策略,只做最近邻不改进且不报最优间隙,自写重写;本地参照 02 源代码 蚁群算法,self-written
critical_path_cpm,关键路径CPM,项目工期与关键工序,图论,活动网络无环且工期已知,有环网络不检测且混淆总时差与自由时差,自写重写;参照 算法写作模板 01 规划类论文,self-written
logistic_population,Logistic人口增长模型,有限资源下的增长过程,机理建模,数据覆盖增长拐点且需估计r与K,参数凭空给定且不做拟合优度,自写重写;本地参照 02 源代码 人口模型,self-written
sir_model,SIR传染病模型,疫情传播与干预模拟,机理建模,人群均匀混合且需估计传染率与恢复率,不说明假设且参数无数据支撑,自写重写;本地参照 02 源代码 传染病模型,self-written
lotka_volterra,Lotka-Volterra竞争捕食模型,种群竞争与捕食关系,机理建模,需估计相互作用系数,结果发散不做稳定性说明,自写重写;本地参照 02 源代码 种群模型,self-written
second_order_ode,二阶微分方程阻尼振动,振动与阻尼系统,机理建模,需给出初值与系数物理意义,不做量纲检查或步长过大失真,自写重写;本地参照 02 源代码 微分方程,self-written
heat_equation_1d,一维热传导方程,温度扩散与时空演化,机理建模,显式格式需满足稳定性条件r<=0.5,违反稳定性条件仍用显式格式,自写重写;参照 算法写作模板 04 培训资料,self-written
lorenz_system,Lorenz混沌系统,非线性动力学与初值敏感性,机理建模,需高精度求解并说明初值敏感性,低精度求解夸大混沌结论,自写重写;参照 算法写作模板 04 培训资料,self-written
monte_carlo_integration,蒙特卡洛积分,概率估算与复杂积分,随机模拟,需说明分布假设与样本量收敛性,样本量过小且不报告标准误,自写重写;本地参照 02 源代码 蒙特卡洛模拟,self-written
queue_simulation,蒙特卡洛排队仿真,服务系统等待时间评估,随机模拟,需给出到达与服务分布,不预热导致稳态指标偏差,自写重写;本地参照 02 源代码 排队论,self-written
mcmc_metropolis,MCMC Metropolis抽样,后验抽样与参数估计,随机模拟,需检查收敛与混合性,不丢弃预热样本且不诊断收敛,自写重写;参照 算法写作模板 04 培训资料,self-written
bootstrap_resampling,Bootstrap重采样,置信区间与稳健性评估,随机模拟,样本可交换性假设成立,小样本套用且不报重采样次数,自写重写;参照 算法写作模板 04 培训资料,self-written
markov_chain,马尔可夫链预测,状态转移与份额预测,随机过程,转移矩阵非负且行和为1,转移矩阵未校验且不做检验,自写重写;本地参照 02 源代码 马尔可夫预测模型,self-written
queueing_mm1,M/M/1排队论解析,服务能力与容量评估,随机过程,到达泊松、服务指数且利用率小于1,利用率大于1仍套稳态公式,自写重写;本地参照 02 源代码 排队论,self-written
cellular_automata,元胞自动机,传播扩散与演化仿真,随机模拟,需定义邻域规则与边界条件,规则随意给定且不做敏感性分析,自写重写;本地参照 02 源代码 元胞自动机,self-written
anova_oneway,单因素方差分析,多组均值差异检验,统计检验,满足正态性与方差齐性,方差不齐仍用且不做事后比较,自写重写;本地参照 02 源代码 方差分析,self-written
chi_square_test,卡方检验,分类变量关联与拟合优度,统计检验,期望频数不低于5否则需精确检验,期望频数不足仍用卡方,自写重写;本地参照 02 源代码 卡方检验,self-written
correlation_analysis,相关分析,变量关联强度与显著性,统计检验,需区分Pearson与Spearman适用条件,相关当因果且不报显著性,自写重写;本地参照 02 源代码 相关系数,self-written
canonical_correlation,典型相关分析,两组变量整体关联,统计检验,样本量足够且变量需标准化,样本过少导致过拟合,自写重写;本地参照 02 源代码 典型相关分析,self-written
mann_kendall_trend,Mann-Kendall趋势检验,序列趋势显著性,统计检验,需处理并列值并考虑自相关,忽略自相关导致假显著,自写重写;本地参照 02 源代码 时间序列类,self-written
regression_diagnostics,回归诊断,模型假设检验与异常点识别,统计检验,需检查残差正态性异方差与共线性,只看R2不查假设,自写重写;参照 算法写作模板 04 培训资料,self-written
pca,主成分分析,降维与综合评价,降维,需标准化并检验适用性,不标准化或用主成分直接替代原始指标命名,自写重写;本地参照 02 源代码 PCA主成分分析法,self-written
factor_analysis,因子分析,潜变量结构识别,降维,需确定因子数并做旋转,与主成分分析混为一谈,自写重写;本地参照 02 源代码 因子分析,self-written
tsne,t-SNE降维可视化,高维数据二维可视化,降维,困惑度需调参且仅用于可视化,用t-SNE距离做定量结论,自写重写;本地参照 02 源代码 T-SNE降维算法,self-written
lda,线性判别分析,有监督降维与分类,降维,需类别标签且类内散布可逆,样本数小于维数时直接求解,自写重写;本地参照 02 源代码 分类类,self-written
rfe_feature_selection,递归特征消除,特征筛选与变量精简,特征工程,需指定评估器与保留数量,不做交叉验证导致选择偏差,自写重写;参照 算法写作模板 01 机器学习类论文,self-written
iqr_outlier,IQR四分位距异常检测,单变量异常识别,数据预处理,分布近似对称时效果较好,不做业务复核直接删除样本,自写重写;本地参照 02 源代码 箱型图检测异常值,self-written
zscore_outlier,Z-Score异常检测,近似正态数据异常识别,数据预处理,均值方差稳健且分布近似正态,长尾分布硬用Z值,自写重写;本地参照 14种国赛必备算法 IQR异常值检测,self-written
missing_imputation,缺失值插补,数据完整性修复,数据预处理,需说明缺失机制,大批量缺失仍插补且不评估影响,自写重写;参照 算法写作模板 04 培训资料,self-written
minmax_standardization,归一化与标准化,建模前数据处理,数据预处理,需区分极值敏感与方差敏感方法,用全量统计量做划分后标准化造成信息泄漏,自写重写;本地参照 02 源代码 数据预处理类,self-written
lagrange_interpolation,拉格朗日插值,离散点补全,数据预处理,节点数不宜过多,高次插值外推造成龙格现象,自写重写;本地参照 02 源代码 拉格朗日插值法,self-written
cubic_spline_interpolation,三次样条插值,平滑曲线重建,数据预处理,需设定边界条件,外推区间不说明,自写重写;本地参照 02 源代码 插值类,self-written
critic_weight,CRITIC 赋权法,指标权重与客观评价,评价决策,指标需正向化且相关性可计算,把冲突性当负向指标或与熵权法混用不说明依据,自写重写;方法依据见 references/来源与方法依据.md,self-written
nar_mlp_forecast,NAR 非线性自回归神经网络预测,非线性时序预测,机器学习,序列自相关明显且样本足够构造滞后特征,滞后阶数过大导致过拟合,自写重写;方法依据见 references/来源与方法依据.md,self-written
bass_diffusion,Bass 扩散模型,新产品与技术扩散预测,机理建模,市场潜力有限且创新模仿机制稳定,不做拐点与峰期分析,自写重写;方法依据见 references/来源与方法依据.md,self-written
svr_regression,支持向量回归,小样本非线性回归,机器学习,核函数与惩罚参数需交叉验证,不标准化或不做参数搜索,自写重写;方法依据见 references/来源与方法依据.md,self-written
mlp_classification,BP 神经网络分类,非线性分类,机器学习,样本量足够且需标准化与早停,不设随机种子或不做早停,自写重写;方法依据见 references/来源与方法依据.md,self-written
adaboost_classification,AdaBoost 集成分类,弱学习器集成分类,机器学习,基学习器为弱分类器且轮数可控,轮数过多拟合噪声,自写重写;方法依据见 references/来源与方法依据.md,self-written
seir_model,SEIR 传染病模型,潜伏期明显的传播建模,机理建模,需估计潜伏期参数与干预时点,忽略潜伏期却不说明与 SIR 的差异,自写重写;方法依据见 references/来源与方法依据.md,self-written
wave_equation_1d,一维波动方程有限差分,振动与波传播仿真,机理建模,显式格式需满足 CFL 条件,违反 CFL 导致数值发散,自写重写;方法依据见 references/来源与方法依据.md,self-written
laplace_equation_2d,二维拉普拉斯方程 SOR,稳态温度与势场分布,机理建模,边界条件完备且松弛因子在 0~2,松弛因子过大导致不收敛,自写重写;方法依据见 references/来源与方法依据.md,self-written
system_dynamics,系统动力学存量流量模型,政策与系统演化仿真,机理建模,存量流量结构与反馈回路明确,步长过大导致欧拉积分失真,自写重写;方法依据见 references/来源与方法依据.md,self-written
queueing_mmc,M/M/c 多服务台排队,服务容量配置,随机过程,到达泊松且服务指数且利用率小于 1,利用率接近 1 仍外推稳态公式,自写重写;方法依据见 references/来源与方法依据.md,self-written
robust_regression,Huber 稳健回归,含离群点的回归建模,统计回归,异常点占比不高且需与 OLS 对照,不做对照无法说明稳健性收益,自写重写;方法依据见 references/来源与方法依据.md,self-written
bayesian_inference,贝叶斯参数估计,小样本参数估计与区间,统计推断,先验可解释且共轭结构成立,先验拍定且不做敏感性分析,自写重写;方法依据见 references/来源与方法依据.md,self-written
moran_i,Moran's I 空间自相关,区域聚集与空间分异,空间统计,需构造合理空间权重矩阵,权重矩阵不说明或不做显著性检验,自写重写;方法依据见 references/来源与方法依据.md,self-written
kriging,普通克里金插值,空间插值与制图,空间统计,需估计变异函数并满足无偏约束,变异函数不拟合直接用经验参数,自写重写;方法依据见 references/来源与方法依据.md,self-written
geodetector_q,地理探测器 q 统计量,驱动因子解释力分析,空间统计,因子需离散分层且层内样本充足,分层过细导致 q 虚高,自写重写;方法依据见 references/来源与方法依据.md,self-written
nash_equilibrium,纳什均衡,策略博弈与均衡分析,博弈论,需明确收益矩阵与策略空间,只找纯策略均衡而忽略混合均衡,自写重写;方法依据见 references/来源与方法依据.md,self-written
shapley_value,Shapley 值,合作博弈收益与成本分摊,博弈论,需给出所有联盟的特征函数值,枚举规模过大或特征函数缺失,自写重写;方法依据见 references/来源与方法依据.md,self-written
evolutionary_game,演化博弈复制动态,策略演化与稳定策略,博弈论,需给出收益矩阵与初始占比,不做稳定性分析只看轨迹,自写重写;方法依据见 references/来源与方法依据.md,self-written
